Data prepared by Tyler R. & Dave F.,,,,
Data corresponds to inputs from 54 balancing authorities summed together post anomaly identification and imputation.,,,,
This provides coverage over all of CONUS.,,,,
The two excluded balancing authorities (SEC and OVEC) account for less than 0.1% of the CONUS total.,,,,
This file corresponds to an updated data cleaning round with one additional year of data included compared to that found in the final version of data published in,,,,
Scientific Data: https://zenodo.org/record/3690240,,,,
Data was querried from the EIA database on 28 Sept 2020,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,demand (MW)
2019,1,20,13,799390.9142
2019,1,20,14,869168.8698
2019,1,20,15,861758.5584
2019,1,20,16,846609.7263
2019,1,20,17,837169.5729
2019,1,20,18,847832.4315
2019,1,20,19,858188.6457
2019,1,20,20,855262.8862
2019,1,20,21,864917.726
2019,1,20,22,914669.7617
2019,1,20,23,991517.9225
2019,1,20,24,1071575.108
2019,1,21,1,1019510.314
2019,1,21,2,902482.5196
2019,1,21,3,843453.6622
2019,1,21,4,768231.3235
2019,1,21,5,705741.5919
2019,1,21,6,662986.8643
2019,1,21,7,646632.1062
2019,1,21,8,610730.7991
2019,1,21,9,599432.2238
2019,1,21,10,594488.8236
2019,1,21,11,594263.5085
2019,1,21,12,621537.8616
2019,1,21,13,663789.9014
2019,1,21,14,710011.7837
2019,1,21,15,745504.6647
2019,1,21,16,787421.1036
2019,1,21,17,818780.6663
2019,1,21,18,850931.544
2019,1,21,19,875058.2251
2019,1,21,20,868191.8831
2019,1,21,21,870616.0062
2019,1,21,22,881086.1191
2019,1,21,23,912751.0478
2019,1,21,24,942394.0707
2019,1,22,1,980672.8417
2019,1,22,2,955611.7324
2019,1,22,3,905249.7525
2019,1,22,4,852791.7732
2019,1,22,5,787260.7609
2019,1,22,6,718712.1637
2019,1,22,7,655955.5002
2019,1,22,8,617741.4285
2019,1,22,9,607880.8177
2019,1,22,10,603531.7015
2019,1,22,11,601685.377
2019,1,22,12,618760.0781
2019,1,22,13,647425.0056
2019,1,22,14,689052.5043
2019,1,22,15,722067.7377
2019,1,22,16,758699.1672
2019,1,22,17,784333.8359
2019,1,22,18,815979.7491
2019,1,22,19,846104.6738
2019,1,22,20,846004.3941
2019,1,22,21,853566.5646
2019,1,22,22,867837.851
2019,1,22,23,902274.692
2019,1,22,24,933536.1449
2019,1,23,1,975117.234
2019,1,23,2,948066.7632
2019,1,23,3,894093.9159
2019,1,23,4,834110.7072
2019,1,23,5,764186.2486
2019,1,23,6,688535.4462
2019,1,23,7,596673.7537
2019,1,23,8,571474.4971
2019,1,23,9,563690.8636
2019,1,23,10,569679.433
2019,1,23,11,589663.4554
2019,1,23,12,652374.4117
2019,1,23,13,760318.034
2019,1,23,14,822033.1559
2019,1,23,15,819653.6564
2019,1,23,16,809137.8861
2019,1,23,17,807769.0379
2019,1,23,18,818252.4062
2019,1,23,19,828556.8895
2019,1,23,20,823967.7503
2019,1,23,21,834613.9409
2019,1,23,22,885999.8322
2019,1,23,23,967091.9869
2019,1,23,24,1056273.162
2019,1,24,1,1007135.389
2019,1,24,2,889075.3034
2019,1,24,3,825368.5586
2019,1,24,4,746841.605
2019,1,24,5,676956.3873
2019,1,24,6,628902.1515
2019,1,24,7,590947.5623
2019,1,24,8,572049.7249
2019,1,24,9,563347.452
2019,1,24,10,568992.5522
2019,1,24,11,589303.4008
2019,1,24,12,653399.4924
