Data prepared by Tyler R. & Dave F.,,,,
Data corresponds to inputs from 54 balancing authorities summed together post anomaly identification and imputation.,,,,
This provides coverage over all of CONUS.,,,,
The two excluded balancing authorities (SEC and OVEC) account for less than 0.1% of the CONUS total.,,,,
This file corresponds to an updated data cleaning round with one additional year of data included compared to that found in the final version of data published in,,,,
Scientific Data: https://zenodo.org/record/3690240,,,,
Data was querried from the EIA database on 28 Sept 2020,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,demand (MW)
2019,1,14,2,2.51326E+11
2019,1,14,3,2.40255E+11
2019,1,14,4,2.23737E+11
2019,1,14,5,2.04725E+11
2019,1,14,6,1.89674E+11
2019,1,14,7,1.80176E+11
2019,1,14,8,1.7555E+11
2019,1,14,9,1.74788E+11
2019,1,14,10,1.78915E+11
2019,1,14,11,1.92673E+11
2019,1,14,12,2.22329E+11
2019,1,14,13,2.53324E+11
2019,1,14,14,2.69055E+11
2019,1,14,15,2.74632E+11
2019,1,14,16,2.7425E+11
2019,1,14,17,2.68858E+11
2019,1,14,18,2.60946E+11
2019,1,14,19,2.53807E+11
2019,1,14,20,2.47661E+11
2019,1,14,21,2.44455E+11
2019,1,14,22,2.47268E+11
2019,1,14,23,2.62359E+11
2019,1,14,24,2.79867E+11
2019,1,15,1,2.8782E+11
2019,1,15,2,2.86573E+11
2019,1,15,3,2.73743E+11
2019,1,15,4,2.51681E+11
2019,1,15,5,2.28678E+11
2019,1,15,6,2.11102E+11
2019,1,15,7,1.9911E+11
2019,1,15,8,1.91654E+11
2019,1,15,9,1.89328E+11
2019,1,15,10,1.91739E+11
2019,1,15,11,2.04428E+11
2019,1,15,12,2.3399E+11
2019,1,15,13,2.63067E+11
2019,1,15,14,2.73738E+11
2019,1,15,15,2.74394E+11
2019,1,15,16,2.70917E+11
2019,1,15,17,2.64102E+11
2019,1,15,18,2.55745E+11
2019,1,15,19,2.47722E+11
2019,1,15,20,2.40772E+11
2019,1,15,21,2.36288E+11
2019,1,15,22,2.40777E+11
2019,1,15,23,2.56432E+11
2019,1,15,24,2.75164E+11
2019,1,16,1,2.84497E+11
2019,1,16,2,2.84453E+11
2019,1,16,3,2.72598E+11
2019,1,16,4,2.51833E+11
2019,1,16,5,2.30545E+11
2019,1,16,6,2.14156E+11
2019,1,16,7,2.02912E+11
2019,1,16,8,1.96687E+11
2019,1,16,9,1.93851E+11
2019,1,16,10,1.96925E+11
2019,1,16,11,2.09896E+11
2019,1,16,12,2.3946E+11
2019,1,16,13,2.67797E+11
2019,1,16,14,2.75661E+11
